filename,width,height,name,xmin,ymin,xmax,ymax,class,weight,w_cat
maksssksksss577.png,400,267,with_mask,106,61,117,72,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,without_mask,137,67,152,80,2,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,188,55,203,72,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,237,70,256,88,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,279,79,297,97,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,323,69,348,92,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,384,62,400,92,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,85,71,94,81,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,74,64,83,75,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,59,65,67,75,1,0.26243525629576714,0.2
maksssksksss577.png,400,267,with_mask,44,65,54,73,1,0.26243525629576714,0.2
maksssksksss694.png,400,280,with_mask,101,81,117,97,1,0.20628683693516703,0.2
maksssksksss694.png,400,280,with_mask,155,101,169,116,1,0.20628683693516703,0.2
maksssksksss694.png,400,280,with_mask,231,95,239,111,1,0.20628683693516703,0.2
maksssksksss694.png,400,280,with_mask,274,121,287,131,1,0.20628683693516703,0.2
maksssksksss694.png,400,280,with_mask,294,104,307,120,1,0.20628683693516703,0.2
maksssksksss694.png,400,280,with_mask,367,126,377,139,1,0.20628683693516703,0.2
maksssksksss86.png,400,300,with_mask,22,121,77,181,1,0.5151031434184676,0.5
maksssksksss86.png,400,300,with_mask,231,76,290,144,1,0.5151031434184676,0.5
maksssksksss86.png,400,300,without_mask,335,135,395,198,2,0.5151031434184676,0.5
maksssksksss86.png,400,300,without_mask,78,105,111,149,2,0.5151031434184676,0.5
maksssksksss777.png,400,226,with_mask,49,146,102,201,1,0.28349091355599215,0.2
maksssksksss777.png,400,226,with_mask,26,82,70,122,1,0.28349091355599215,0.2
maksssksksss777.png,400,226,with_mask,73,48,102,78,1,0.28349091355599215,0.2
maksssksksss777.png,400,226,with_mask,137,42,163,74,1,0.28349091355599215,0.2
maksssksksss777.png,400,226,with_mask,187,52,220,86,1,0.28349091355599215,0.2
maksssksksss777.png,400,226,without_mask,226,47,248,70,2,0.28349091355599215,0.2
maksssksksss777.png,400,226,with_mask,285,35,322,71,1,0.28349091355599215,0.2
maksssksksss777.png,400,226,with_mask,363,32,397,72,1,0.28349091355599215,0.2
maksssksksss636.png,400,300,with_mask,76,94,99,121,1,0.4533398821218075,0.4
maksssksksss636.png,400,300,with_mask,163,113,187,133,1,0.4533398821218075,0.4
maksssksksss636.png,400,300,without_mask,229,93,243,108,2,0.4533398821218075,0.4
maksssksksss636.png,400,300,without_mask,271,103,285,121,2,0.4533398821218075,0.4
maksssksksss636.png,400,300,with_mask,37,100,46,112,1,0.4533398821218075,0.4
maksssksksss460.png,400,267,without_mask,7,52,24,72,2,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,26,58,53,94,1,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,58,69,70,80,1,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,111,50,133,76,1,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,134,63,148,82,1,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,206,69,221,88,1,0.3606949901768173,0.3
maksssksksss460.png,400,267,without_mask,226,56,241,76,2,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,243,75,260,95,1,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,307,80,328,104,1,0.3606949901768173,0.3
maksssksksss460.png,400,267,without_mask,155,91,166,101,2,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,375,58,383,66,1,0.3606949901768173,0.3
maksssksksss460.png,400,267,with_mask,278,58,288,70,1,0.3606949901768173,0.3
maksssksksss572.png,400,225,with_mask,109,115,142,150,1,0.20628683693516703,0.2
maksssksksss572.png,400,225,with_mask,168,9,199,42,1,0.20628683693516703,0.2
maksssksksss572.png,400,225,with_mask,194,48,231,86,1,0.20628683693516703,0.2
maksssksksss572.png,400,225,with_mask,216,21,246,54,1,0.20628683693516703,0.2
maksssksksss572.png,400,225,with_mask,279,69,300,91,1,0.20628683693516703,0.2
maksssksksss572.png,400,225,with_mask,337,73,357,95,1,0.20628683693516703,0.2
maksssksksss732.png,400,268,with_mask,291,47,323,83,1,0.3606949901768173,0.3
maksssksksss732.png,400,268,with_mask,347,51,359,66,1,0.3606949901768173,0.3
maksssksksss732.png,400,268,with_mask,230,49,259,79,1,0.3606949901768173,0.3
maksssksksss732.png,400,268,with_mask,197,49,221,79,1,0.3606949901768173,0.3
maksssksksss732.png,400,268,with_mask,151,46,175,68,1,0.3606949901768173,0.3
maksssksksss732.png,400,268,with_mask,107,47,129,72,1,0.3606949901768173,0.3
maksssksksss732.png,400,268,without_mask,59,54,75,74,2,0.3606949901768173,0.3
maksssksksss732.png,400,268,without_mask,39,63,57,84,2,0.3606949901768173,0.3
maksssksksss185.png,400,267,with_mask,89,139,121,187,1,0.20628683693516703,0.2
maksssksksss185.png,400,267,with_mask,115,112,139,154,1,0.20628683693516703,0.2
maksssksksss185.png,400,267,with_mask,165,102,195,126,1,0.20628683693516703,0.2
maksssksksss185.png,400,267,with_mask,270,69,288,86,1,0.20628683693516703,0.2
maksssksksss450.png,400,283,with_mask,65,100,101,137,1,0.20628683693516703,0.2
maksssksksss450.png,400,283,with_mask,175,110,207,148,1,0.20628683693516703,0.2
maksssksksss450.png,400,283,with_mask,208,67,240,102,1,0.20628683693516703,0.2
maksssksksss450.png,400,283,with_mask,327,95,360,130,1,0.20628683693516703,0.2
maksssksksss195.png,400,400,with_mask,121,145,305,356,1,0.20628683693516703,0.2
maksssksksss828.png,301,400,with_mask,65,174,180,323,1,0.20628683693516703,0.2
maksssksksss483.png,400,267,with_mask,115,47,157,87,1,0.3606949901768173,0.3
maksssksksss483.png,400,267,with_mask,186,90,231,130,1,0.3606949901768173,0.3
maksssksksss483.png,400,267,with_mask,307,42,347,84,1,0.3606949901768173,0.3
maksssksksss483.png,400,267,without_mask,69,64,89,81,2,0.3606949901768173,0.3
maksssksksss843.png,400,400,with_mask,1,132,59,215,1,0.20628683693516703,0.2
maksssksksss843.png,400,400,with_mask,139,128,224,210,1,0.20628683693516703,0.2
maksssksksss843.png,400,400,with_mask,331,205,400,277,1,0.20628683693516703,0.2
maksssksksss539.png,400,267,with_mask,25,13,35,25,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,55,10,65,20,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,120,16,130,31,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,167,3,178,15,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,21,48,34,62,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,53,40,66,52,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,107,37,119,51,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,116,56,128,68,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,91,77,104,89,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,25,72,40,86,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,8,90,22,105,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,36,105,50,117,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,36,122,48,138,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,60,131,73,146,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,61,152,79,169,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,42,206,60,222,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,52,238,70,257,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,93,226,111,241,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,124,128,140,142,1,0.22135104700752317,0.2
maksssksksss539.png,400,267,with_mask,134,90,146,103,1,0.22135104700752317,0.2
